group_type,state,episode_id,account_id,start_date,end_date,duration_trading_sessions,total_return,max_drawdown,longest_completed_underwater_state_days,right_censored_underwater,terminal_underwater_state_days
TREND,SIDEWAYS,84,HD-BASE-000,2025-06-04,2025-06-04,1,-0.003706945961282293,-0.003706945961282293,0,True,1
TREND,SIDEWAYS,86,HD-BASE-000,2025-06-17,2025-09-09,61,-0.024372379294976043,-0.03863648510659856,3,True,53
TREND,SIDEWAYS,2,HD-BASE-001,2022-03-16,2022-03-16,1,0.03199791883454739,0.0,0,False,0
TREND,SIDEWAYS,4,HD-BASE-001,2022-03-21,2022-03-22,2,0.006654722293319759,-0.0033273611466597686,1,False,0
TREND,SIDEWAYS,6,HD-BASE-001,2022-03-31,2022-04-01,2,0.008165348303138309,0.0,0,False,0
TREND,SIDEWAYS,8,HD-BASE-001,2022-04-20,2022-04-21,2,0.008646245059288571,0.0,0,False,0
TREND,SIDEWAYS,10,HD-BASE-001,2022-04-25,2022-05-13,12,-0.011224987798926112,-0.03367496339677878,0,True,12
TREND,SIDEWAYS,12,HD-BASE-001,2022-05-17,2022-05-19,3,0.007199602780536329,-0.005460412012906368,1,False,0
TREND,SIDEWAYS,14,HD-BASE-001,2022-05-23,2022-05-26,4,0.012318305001231877,-0.010101010101009944,3,False,0
TREND,SIDEWAYS,16,HD-BASE-001,2022-06-27,2022-07-01,5,0.02336448598130869,-0.0063944909001474315,4,False,0
TREND,SIDEWAYS,18,HD-BASE-001,2022-07-06,2022-07-11,4,0.01083554057307956,-0.004334216229231802,3,False,0
TREND,SIDEWAYS,20,HD-BASE-001,2022-07-15,2022-07-18,2,0.002135231316725994,-0.013285883748517247,1,False,0
TREND,SIDEWAYS,22,HD-BASE-001,2022-07-28,2022-08-05,7,0.0038072304064458162,-0.011421691219336672,6,False,0
TREND,SIDEWAYS,24,HD-BASE-001,2022-08-12,2022-09-16,25,-0.012824988778134205,-0.025274416385380083,0,True,24
TREND,SIDEWAYS,26,HD-BASE-001,2022-09-20,2022-09-20,1,-0.0014428175340804872,-0.0014428175340804872,0,True,1
TREND,SIDEWAYS,28,HD-BASE-001,2022-09-26,2022-10-10,6,0.0007240203401450707,-0.0224446305444872,5,False,0
TREND,SIDEWAYS,30,HD-BASE-001,2022-10-13,2022-10-31,12,-0.07140211979581412,-0.07140211979581412,0,True,12
TREND,SIDEWAYS,32,HD-BASE-001,2022-11-03,2022-11-03,1,-0.01244642204261337,-0.01244642204261337,0,True,1
TREND,SIDEWAYS,34,HD-BASE-001,2022-11-07,2022-12-08,24,0.019871722799925218,-0.022798275348049457,3,True,9
TREND,SIDEWAYS,36,HD-BASE-001,2022-12-12,2022-12-12,1,-0.0061498566314671654,-0.0061498566314671654,0,True,1
TREND,SIDEWAYS,38,HD-BASE-001,2022-12-14,2022-12-14,1,0.0002580958206543915,0.0,0,False,0
TREND,SIDEWAYS,40,HD-BASE-001,2022-12-16,2022-12-16,1,0.008802520627671395,0.0,0,False,0
TREND,SIDEWAYS,42,HD-BASE-001,2022-12-21,2022-12-21,1,0.0020787157693975544,0.0,0,False,0
TREND,SIDEWAYS,44,HD-BASE-001,2022-12-23,2023-01-05,9,0.010658957553950854,-0.005881555697053731,1,True,3
TREND,SIDEWAYS,46,HD-BASE-001,2023-02-15,2023-02-15,1,-0.002801455738272729,-0.002801455738272729,0,True,1
TREND,SIDEWAYS,48,HD-BASE-001,2023-03-02,2023-03-08,5,-0.0073687660874139915,-0.00938245683435901,1,True,3
TREND,SIDEWAYS,50,HD-BASE-001,2023-03-31,2023-05-09,24,0.038906251191979546,-0.011311855562359141,10,False,0
TREND,SIDEWAYS,52,HD-BASE-001,2023-05-25,2023-08-22,62,0.00548173206039948,-0.021709805758221012,48,True,3
TREND,SIDEWAYS,54,HD-BASE-001,2023-08-24,2023-09-12,14,0.002933368533755587,-0.011916748138312228,1,True,12
TREND,SIDEWAYS,56,HD-BASE-001,2023-09-19,2023-09-19,1,0.0029007508110014957,0.0,0,False,0
TREND,SIDEWAYS,58,HD-BASE-001,2023-10-23,2023-10-24,2,0.006052008540594622,-0.0014524820497425761,1,False,0
TREND,SIDEWAYS,60,HD-BASE-001,2023-10-26,2023-10-30,3,0.013213078010991142,-0.0021797784376317297,1,False,0
TREND,SIDEWAYS,62,HD-BASE-001,2023-11-07,2023-12-25,35,0.02815629657318408,-0.007896890539524914,9,False,0
TREND,SIDEWAYS,64,HD-BASE-001,2023-12-28,2024-01-02,3,0.0035303587315185236,-0.005883931219197613,2,False,0
TREND,SIDEWAYS,66,HD-BASE-001,2024-01-12,2024-01-12,1,0.008305923784843294,0.0,0,False,0
TREND,SIDEWAYS,68,HD-BASE-001,2024-01-17,2024-01-24,6,0.007057395444686421,-0.007527888474332389,5,False,0
TREND,SIDEWAYS,70,HD-BASE-001,2024-03-28,2024-03-28,1,0.00045673988206962335,0.0,0,False,0
