exchange,trade_date,is_open,previous_trade_date,source
SSE,19980709,1,19980708,sina_finance
SSE,19980710,1,19980709,sina_finance
SSE,19980713,1,19980710,sina_finance
SSE,19980714,1,19980713,sina_finance
SSE,19980715,1,19980714,sina_finance
SSE,19980716,1,19980715,sina_finance
SSE,19980717,1,19980716,sina_finance
SSE,19980720,1,19980717,sina_finance
SSE,19980721,1,19980720,sina_finance
SSE,19980722,1,19980721,sina_finance
SSE,19980723,1,19980722,sina_finance
SSE,19980724,1,19980723,sina_finance
SSE,19980727,1,19980724,sina_finance
SSE,19980728,1,19980727,sina_finance
SSE,19980729,1,19980728,sina_finance
SSE,19980730,1,19980729,sina_finance
SSE,19980731,1,19980730,sina_finance
SSE,19980803,1,19980731,sina_finance
SSE,19980804,1,19980803,sina_finance
SSE,19980805,1,19980804,sina_finance
SSE,19980806,1,19980805,sina_finance
SSE,19980807,1,19980806,sina_finance
SSE,19980810,1,19980807,sina_finance
SSE,19980811,1,19980810,sina_finance
SSE,19980812,1,19980811,sina_finance
SSE,19980813,1,19980812,sina_finance
SSE,19980814,1,19980813,sina_finance
SSE,19980817,1,19980814,sina_finance
SSE,19980818,1,19980817,sina_finance
SSE,19980819,1,19980818,sina_finance
SSE,19980820,1,19980819,sina_finance
SSE,19980821,1,19980820,sina_finance
SSE,19980824,1,19980821,sina_finance
SSE,19980825,1,19980824,sina_finance
SSE,19980826,1,19980825,sina_finance
SSE,19980827,1,19980826,sina_finance
SSE,19980828,1,19980827,sina_finance
SSE,19980831,1,19980828,sina_finance
SSE,19980901,1,19980831,sina_finance
SSE,19980902,1,19980901,sina_finance
SSE,19980903,1,19980902,sina_finance
SSE,19980904,1,19980903,sina_finance
SSE,19980907,1,19980904,sina_finance
SSE,19980908,1,19980907,sina_finance
SSE,19980909,1,19980908,sina_finance
SSE,19980910,1,19980909,sina_finance
SSE,19980911,1,19980910,sina_finance
SSE,19980914,1,19980911,sina_finance
SSE,19980915,1,19980914,sina_finance
SSE,19980916,1,19980915,sina_finance
SSE,19980917,1,19980916,sina_finance
SSE,19980918,1,19980917,sina_finance
SSE,19980921,1,19980918,sina_finance
SSE,19980922,1,19980921,sina_finance
SSE,19980923,1,19980922,sina_finance
SSE,19980924,1,19980923,sina_finance
SSE,19980925,1,19980924,sina_finance
SSE,19980928,1,19980925,sina_finance
SSE,19980929,1,19980928,sina_finance
SSE,19980930,1,19980929,sina_finance
SSE,19981005,1,19980930,sina_finance
SSE,19981006,1,19981005,sina_finance
SSE,19981007,1,19981006,sina_finance
SSE,19981008,1,19981007,sina_finance
SSE,19981009,1,19981008,sina_finance
SSE,19981012,1,19981009,sina_finance
SSE,19981013,1,19981012,sina_finance
SSE,19981014,1,19981013,sina_finance
SSE,19981015,1,19981014,sina_finance
SSE,19981016,1,19981015,sina_finance
SSE,19981019,1,19981016,sina_finance
SSE,19981020,1,19981019,sina_finance
SSE,19981021,1,19981020,sina_finance
SSE,19981022,1,19981021,sina_finance
SSE,19981023,1,19981022,sina_finance
SSE,19981026,1,19981023,sina_finance
SSE,19981027,1,19981026,sina_finance
SSE,19981028,1,19981027,sina_finance
SSE,19981029,1,19981028,sina_finance
SSE,19981030,1,19981029,sina_finance
SSE,19981102,1,19981030,sina_finance
SSE,19981103,1,19981102,sina_finance
SSE,19981104,1,19981103,sina_finance
SSE,19981105,1,19981104,sina_finance
SSE,19981106,1,19981105,sina_finance
SSE,19981109,1,19981106,sina_finance
SSE,19981110,1,19981109,sina_finance
SSE,19981111,1,19981110,sina_finance
SSE,19981112,1,19981111,sina_finance
SSE,19981113,1,19981112,sina_finance
SSE,19981116,1,19981113,sina_finance
SSE,19981117,1,19981116,sina_finance
SSE,19981118,1,19981117,sina_finance
SSE,19981119,1,19981118,sina_finance
SSE,19981120,1,19981119,sina_finance
SSE,19981123,1,19981120,sina_finance
SSE,19981124,1,19981123,sina_finance
SSE,19981125,1,19981124,sina_finance
SSE,19981126,1,19981125,sina_finance
SSE,19981127,1,19981126,sina_finance
SSE,19981130,1,19981127,sina_finance
